"id","treatment","gender","age","phase","hour","value"
"1","control","M",-4.75,"pre","1",1
"1","control","M",-4.75,"pre","2",2
"1","control","M",-4.75,"pre","3",4
"1","control","M",-4.75,"pre","4",2
"1","control","M",-4.75,"pre","5",1
"1","control","M",-4.75,"post","1",3
"1","control","M",-4.75,"post","2",2
"1","control","M",-4.75,"post","3",5
"1","control","M",-4.75,"post","4",3
"1","control","M",-4.75,"post","5",2
"1","control","M",-4.75,"fup","1",2
"1","control","M",-4.75,"fup","2",3
"1","control","M",-4.75,"fup","3",2
"1","control","M",-4.75,"fup","4",4
"1","control","M",-4.75,"fup","5",4
"2","control","M",-2.75,"pre","1",4
"2","control","M",-2.75,"pre","2",4
"2","control","M",-2.75,"pre","3",5
"2","control","M",-2.75,"pre","4",3
"2","control","M",-2.75,"pre","5",4
"2","control","M",-2.75,"post","1",2
"2","control","M",-2.75,"post","2",2
"2","control","M",-2.75,"post","3",3
"2","control","M",-2.75,"post","4",5
"2","control","M",-2.75,"post","5",3
"2","control","M",-2.75,"fup","1",4
"2","control","M",-2.75,"fup","2",5
"2","control","M",-2.75,"fup","3",6
"2","control","M",-2.75,"fup","4",4
"2","control","M",-2.75,"fup","5",1
"3","control","M",1.25,"pre","1",5
"3","control","M",1.25,"pre","2",6
"3","control","M",1.25,"pre","3",5
"3","control","M",1.25,"pre","4",7
"3","control","M",1.25,"pre","5",7
"3","control","M",1.25,"post","1",4
"3","control","M",1.25,"post","2",5
"3","control","M",1.25,"post","3",7
"3","control","M",1.25,"post","4",5
"3","control","M",1.25,"post","5",4
"3","control","M",1.25,"fup","1",7
"3","control","M",1.25,"fup","2",6
"3","control","M",1.25,"fup","3",9
"3","control","M",1.25,"fup","4",7
"3","control","M",1.25,"fup","5",6
"4","control","F",7.25,"pre","1",5
"4","control","F",7.25,"pre","2",4
"4","control","F",7.25,"pre","3",7
"4","control","F",7.25,"pre","4",5
"4","control","F",7.25,"pre","5",4
"4","control","F",7.25,"post","1",2
"4","control","F",7.25,"post","2",2
"4","control","F",7.25,"post","3",3
"4","control","F",7.25,"post","4",5
"4","control","F",7.25,"post","5",3
"4","control","F",7.25,"fup","1",4
"4","control","F",7.25,"fup","2",4
"4","control","F",7.25,"fup","3",5
"4","control","F",7.25,"fup","4",3
"4","control","F",7.25,"fup","5",4
"5","control","F",-5.75,"pre","1",3
"5","control","F",-5.75,"pre","2",4
"5","control","F",-5.75,"pre","3",6
"5","control","F",-5.75,"pre","4",4
"5","control","F",-5.75,"pre","5",3
"5","control","F",-5.75,"post","1",6
"5","control","F",-5.75,"post","2",7
"5","control","F",-5.75,"post","3",8
"5","control","F",-5.75,"post","4",6
"5","control","F",-5.75,"post","5",3
"5","control","F",-5.75,"fup","1",4
"5","control","F",-5.75,"fup","2",3
"5","control","F",-5.75,"fup","3",6
"5","control","F",-5.75,"fup","4",4
"5","control","F",-5.75,"fup","5",3
"6","A","M",7.25,"pre","1",7
"6","A","M",7.25,"pre","2",8
"6","A","M",7.25,"pre","3",7
"6","A","M",7.25,"pre","4",9
"6","A","M",7.25,"pre","5",9
"6","A","M",7.25,"post","1",9
"6","A","M",7.25,"post","2",9
"6","A","M",7.25,"post","3",10
"6","A","M",7.25,"post","4",8
"6","A","M",7.25,"post","5",9
"6","A","M",7.25,"fup","1",9
"6","A","M",7.25,"fup","2",10
"6","A","M",7.25,"fup","3",11
"6","A","M",7.25,"fup","4",9
"6","A","M",7.25,"fup","5",6
"7","A","M",8.25,"pre","1",5
"7","A","M",8.25,"pre","2",5
"7","A","M",8.25,"pre","3",6
"7","A","M",8.25,"pre","4",4
"7","A","M",8.25,"pre","5",5
"7","A","M",8.25,"post","1",7
"7","A","M",8.25,"post","2",7
"7","A","M",8.25,"post","3",8
"7","A","M",8.25,"post","4",10
"7","A","M",8.25,"post","5",8
"7","A","M",8.25,"fup","1",8
"7","A","M",8.25,"fup","2",9
"7","A","M",8.25,"fup","3",11
"7","A","M",8.25,"fup","4",9
"7","A","M",8.25,"fup","5",8
"8","A","F",2.25,"pre","1",2
"8","A","F",2.25,"pre","2",3
"8","A","F",2.25,"pre","3",5
"8","A","F",2.25,"pre","4",3
"8","A","F",2.25,"pre","5",2
"8","A","F",2.25,"post","1",2
"8","A","F",2.25,"post","2",4
"8","A","F",2.25,"post","3",8
"8","A","F",2.25,"post","4",6
"8","A","F",2.25,"post","5",5
"8","A","F",2.25,"fup","1",6
"8","A","F",2.25,"fup","2",6
"8","A","F",2.25,"fup","3",7
"8","A","F",2.25,"fup","4",5
"8","A","F",2.25,"fup","5",6
"9","A","F",2.25,"pre","1",3
"9","A","F",2.25,"pre","2",3
"9","A","F",2.25,"pre","3",4
